Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
Beechborough-Greenbrook,112,N/A,1.80,"6,577.00","3,100.00","3,475.00","6,370.00","5,250.00","3,125.00",355.00,"2,135.00","1,630.00","2,135.00",610.00,945.00,905.00,"1,765.00","2,610.00",360.00,$749.00,"$58,706.00","$37,540.00",962.00,950.00,"1,078.00","1,920.00",19.11764706,25.57,824.00,21.00,50.00,14.00,12.00,10.00,7.00,3.00,0.00,0.00,64.00,27.00,26.00,9.00,235.0
Weston,113,N/A,2.60,"17,992.00","8,545.00","9,455.00","17,685.00","14,605.00","9,075.00",965.00,"5,530.00","3,995.00","6,800.00","2,395.00","3,250.00","3,090.00","4,815.00","6,925.00","1,465.00",$874.00,"$61,470.00","$41,356.00","1,986.00","2,650.00","3,724.00","5,050.00",15.09433962,41.45,"1,036.00",56.00,169.00,11.00,43.00,35.00,39.00,2.00,4.00,4.00,347.00,63.00,163.00,45.00,730.0
Lambton Baby Point,114,N/A,1.70,"7,985.00","3,750.00","4,235.00","7,985.00","6,290.00","4,200.00",320.00,"2,080.00",945.00,"4,210.00","2,950.00",725.00,"1,920.00","1,240.00","6,030.00",245.00,$814.00,"$122,277.00","$58,158.00",102.00,690.00,728.00,"1,390.00",14.1509434,27.28,668.00,5.00,21.00,2.00,8.00,2.00,1.00,1.00,0.00,0.00,80.00,11.00,48.00,10.00,310.0
Mount Dennis,115,N/A,2.10,"13,593.00","6,425.00","7,160.00","13,260.00","10,865.00","6,905.00",745.00,"3,970.00","2,855.00","4,665.00","1,650.00","2,125.00","2,470.00","2,410.00","4,255.00",905.00,$896.00,"$57,386.00","$43,790.00",620.00,"1,930.00","2,193.00","3,770.00",21.15384615,29.91,"1,145.00",20.00,83.00,7.00,30.00,24.00,14.00,0.00,0.00,6.00,174.00,55.00,57.00,14.00,575.0
Steeles,116,N/A,4.60,"24,623.00","11,730.00","12,890.00","24,265.00","21,125.00","11,035.00","1,045.00","10,085.00","4,545.00","9,920.00","5,810.00","2,915.00","6,585.00","1,095.00","2,200.00","1,810.00","$1,155.00","$67,732.00","$55,755.00","1,074.00","3,520.00","1,231.00","7,570.00",10.57268722,11.36,0.00,7.00,36.00,2.00,48.00,13.00,28.00,3.00,0.00,0.00,107.00,47.00,28.00,7.00,330.0
L'Amoreaux,117,N/A,7.10,"43,993.00","20,600.00","23,375.00","43,500.00","37,385.00","21,145.00","2,300.00","16,235.00","8,430.00","18,765.00","9,780.00","5,700.00","10,125.00","4,790.00","9,945.00","3,965.00",$919.00,"$64,493.00","$49,769.00","2,015.00","5,840.00","3,077.00","12,450.00",12.06896552,30.73,"1,776.00",15.00,136.00,8.00,48.00,31.00,28.00,5.00,2.00,3.00,303.00,79.00,118.00,16.00,1195.0
Tam O'Shanter-Sullivan,118,N/A,5.50,"27,446.00","12,755.00","14,690.00","27,030.00","23,150.00","12,910.00","1,175.00","10,225.00","4,165.00","12,325.00","6,895.00","3,820.00","5,700.00","4,110.00","6,705.00","2,435.00",$964.00,"$64,630.00","$46,095.00","1,751.00","3,100.00","1,654.00","6,570.00",12.93103448,41.37,607.00,7.00,91.00,5.00,60.00,12.00,23.00,7.00,0.00,1.00,232.00,112.00,75.00,13.00,535.0
Wexford/Maryvale,119,N/A,10.20,"27,917.00","13,575.00","14,340.00","27,545.00","23,335.00","14,340.00","1,285.00","8,995.00","4,790.00","11,710.00","5,305.00","3,325.00","6,320.00","3,655.00","12,270.00","1,970.00",$904.00,"$69,418.00","$53,752.00","4,882.00","2,670.00","2,485.00","5,500.00",12.04819277,42.08,736.00,10.00,152.00,10.00,74.00,21.00,40.00,11.00,2.00,1.00,288.00,245.00,125.00,12.00,750.0
Clairlea-Birchmount,120,N/A,7.40,"26,984.00","13,135.00","13,865.00","26,295.00","21,740.00","14,195.00","1,240.00","7,545.00","3,795.00","11,360.00","5,755.00","3,175.00","5,770.00","2,980.00","10,185.00","1,820.00",$890.00,"$69,549.00","$53,716.00","4,157.00","2,680.00","2,377.00","5,650.00",10.90225564,30.8,422.00,46.00,215.00,11.00,88.00,30.00,48.00,16.00,1.00,3.00,248.00,106.00,87.00,11.00,615.0
Oakridge,121,N/A,1.80,"13,845.00","6,740.00","7,110.00","13,610.00","10,750.00","6,150.00",900.00,"4,605.00","2,330.00","5,470.00","2,950.00","2,290.00","1,600.00","3,630.00","3,365.00","1,760.00",$730.00,"$50,793.00","$32,079.00",535.00,"2,570.00","2,552.00","5,890.00",11.9760479,35.43,"1,486.00",23.00,113.00,12.00,57.00,25.00,11.00,10.00,0.00,1.00,218.00,34.00,83.00,14.00,670.0
